,timestamp,question_title,chapter_id,correct_answer,distractor_1,distractor_2,distractor_3,source,author
184,10/04/2024 23:30:26,"If someone is uncomfortable identifying with the gender normally associated with their sex assigned at birth, then they could be classified as experiencing ________.",10,gender dysphoria,homosexuality,bisexuality,gender expression,Book,
185,10/04/2024 23:30:26,Individuals suffering from posttraumatic stress disorder have been shown to have reduced volumes of the ________.,10,hippocampus,amygdala,hypothalamus,thalamus,Book,
186,10/04/2024 23:30:57,"According to the ________ theory of emotion, emotional experiences arise from physiological arousal.",10,James-Lange,Cannon-Bard,Schachter-Singer two-factor,Darwinian,Book,
187,10/04/2024 23:30:57,Which of the following is not one of the seven universal emotions described in this chapter?,10,melancholy,contempt,disgust,anger,Book,
188,10/04/2024 23:30:57,Which of the following theories of emotion would suggest that polygraphs should be quite accurate at differentiating one emotion from another?,10,James-Lange theory,Cannon-Bard theory,Schachter-Singer two-factor theory,Darwinian theory,Book,
189,10/04/2024 23:31:19,Personality is thought to be ________.,11,"long term, stable and not easily changed",short term and easily changed,a pattern of short-term characteristics,unstable and short term,Book,
190,10/04/2024 23:31:19,"The long-standing traits and patterns that propel individuals to consistently think, feel, and behave in specific ways are known as ________.",11,personality,psychodynamic,temperament,humors,Book,
191,10/04/2024 23:31:19,________ is credited with the first comprehensive theory of personality.,11,Freud,Hippocrates,Gall,Wundt,Book,
192,10/04/2024 23:31:19,An early science that tried to correlate personality with measurements of parts of a person’s skull is known as ________.,11,phrenology,psychology,physiology,personality psychology,Book,
193,10/04/2024 23:31:34,The id operates on the ________ principle.,11,pleasure,reality,instant gratification,guilt,Book,
194,10/04/2024 23:31:34,The ego defense mechanism in which a person who is confronted with anxiety returns to a more immature behavioral stage is called ________.,11,regression,repression,reaction formation,rationalization,Book,
195,10/04/2024 23:31:34,The Oedipus complex occurs in the ________ stage of psychosexual development.,11,phallic,oral,anal,latency,Book,
196,10/04/2024 23:32:02,"The universal bank of ideas, images, and concepts that have been passed down through the generations from our ancestors refers to ________.",11,collective unconscious,archetypes,intuition,personality types,Book,
197,10/04/2024 23:32:02,Self-regulation is also known as ________.,11,will power,self-efficacy,internal locus of control,external locus of control,Book,
198,10/04/2024 23:32:02,Your level of confidence in your own abilities is known as ________.,11,self-efficacy,self-concept,self-control,self-esteem,Book,
199,10/04/2024 23:32:02,Jane most likely has an _______ locus of control.,11,external,internal,intrinsic,extrinsic,Book,
200,10/04/2024 23:32:02,Self-concept refers to ________.,11,all of our thoughts and feelings about ourselves,our level of confidence in our own abilities,the belief that we control our own outcomes,the belief that our outcomes are outside of our control,Book,
201,10/04/2024 23:32:02,The idea that people’s ideas about themselves should match their actions is called ________.,11,congruence,confluence,conscious,conscientiousness,Book,
202,10/04/2024 23:32:02,"The way a person reacts to the world, starting when they are very young, including the person’s activity level is known as ________.",11,temperament,traits,heritability,personality,Book,
203,10/04/2024 23:33:21,"According to Thomas and Chess, Brianna would be considered ________.",11,a difficult baby,an easy baby,a slow to warm up baby,a colicky baby,Book,
204,10/04/2024 23:33:21,"According to the findings of the Minnesota Study of Twins Reared Apart, identical twins, whether raised together or apart have ________ personalities.",11,very similar,slightly different,very different,slightly similar,Book,
205,10/04/2024 23:33:21,Temperament refers to ________.,11,"inborn, genetically based personality differences",characteristic ways of behaving,"conscientiousness, agreeableness, neuroticism, openness, and extroversion",degree of introversion-extroversion,Book,
206,10/04/2024 23:33:21,"According to the Eysencks’ theory, people who score high on neuroticism tend to be ________.",11,anxious,calm,stable,outgoing,Book,
207,10/04/2024 23:33:21,The United States is considered a ________ culture.,11,individualist,collectivistic,traditional,nontraditional,Book,
208,10/04/2024 23:33:21,The concept that people choose to move to places that are compatible with their personalities and needs is known as ________.,11,selective migration,personal oriented personality,socially oriented personality,individualism,Book,
209,10/04/2024 23:33:21,Which of the following is NOT a projective test?,11,Minnesota Multiphasic Personality Inventory (MMPI),Rorschach Inkblot Test,Thematic Apperception Test (TAT),Rotter Incomplete Sentence Blank (RISB),Book,
210,10/04/2024 23:33:37,"A personality assessment in which a person responds to ambiguous stimuli, revealing unconscious feelings, impulses, and desires ________.",11,projective test,self-report inventory,Minnesota Multiphasic Personality Inventory (MMPI),Myers-Briggs Type Indicator (MBTI),Book,
211,10/04/2024 23:33:37,Which personality assessment employs a series of true/false questions?,11,Minnesota Multiphasic Personality Inventory (MMPI),Thematic Apperception Test (TAT),Rotter Incomplete Sentence Blank (RISB),Myers-Briggs Type Indicator (MBTI),Book,
212,10/04/2024 23:35:11,"As a field, social psychology focuses on ________ in predicting human behavior.",12,situational factors,personality traits,genetic predispositions,biological forces,Book,
213,10/04/2024 23:35:11,Making internal attributions for your successes and making external attributions for your failures is an example of ________.,12,self-serving bias,actor-observer bias,fundamental attribution error,just-world hypothesis,Book,
214,10/04/2024 23:35:11,Collectivistic cultures are to ________ as individualistic cultures are to ________.,12,situational; dispositional,dispositional; situational,autonomy; group harmony,just-world hypothesis; self-serving bias,Book,
215,10/04/2024 23:35:11,"According to the actor-observer bias, we have more information about ________.",12,influences on our own behavior,situational influences on behavior,influences on others’ behavior,dispositional influences on behavior,Book,
216,10/04/2024 23:35:11,A(n) ________ is a set of group expectations for appropriate thoughts and behaviors of its members.,12,social norm,social role,script,attribution,Book,
217,10/04/2024 23:35:11,Jose’s behavior is reflective of ________.,12,normative behavior,a script,social influence,good athletic behavior,Book,
218,10/04/2024 23:35:11,"When it comes to buying clothes, teenagers often follow social norms; this is likely motivated by ________.",12,fitting in,following parents’ rules,saving money,looking good,Book,
219,10/04/2024 23:35:31,"In the Stanford prison experiment, even the lead researcher succumbed to his role as a prison supervisor. This is an example of the power of ________ influencing behavior.",12,social roles,scripts,social norms,conformity,Book,
220,10/04/2024 23:35:31,"Attitudes describe our ________ of people, objects, and ideas.",12,evaluations,treatment,cognitions,knowledge,Book,
221,10/04/2024 23:35:31,Cognitive dissonance causes discomfort because it disrupts our sense of ________.,12,consistency,dependency,unpredictability,power,Book,
222,10/04/2024 23:35:31,"In order for the central route to persuasion to be effective, the audience must be ________ and ________.",12,analytical; motivated,attentive; happy,intelligent; unemotional,gullible; distracted,Book,
223,10/04/2024 23:35:31,Examples of cues used in peripheral route persuasion include all of the following except ________.,12,factual information,celebrity endorsement,positive emotions,attractive models,Book,
224,10/04/2024 23:36:48,"In the Asch experiment, participants conformed due to ________ social influence.",12,normative,informational,inspirational,persuasive,Book,
225,10/04/2024 23:36:48,Under what conditions will informational social influence be more likely?,12,both when the answer is unclear and when the group has expertise,when individuals want to fit in,when the answer is unclear,when the group has expertise,Book,
226,10/04/2024 23:36:48,Social loafing occurs when ________.,12,individual performance cannot be evaluated,the task is easy,both when individual performance cannot be evaluated and the task is easy,none of the above,Book,
227,10/04/2024 23:36:48,"If group members modify their opinions to align with a perceived group consensus, then ________ has occurred.",12,groupthink,group cohesion,social polarization,social loafing,Book,
228,10/04/2024 23:36:48,Prejudice is to ________ as discrimination is to ________.,12,feelings; behavior,thoughts; feelings,feelings; thoughts,behavior; feelings,Book,
229,10/04/2024 23:37:10,Which of the following is not a type of prejudice?,12,individualism,homophobia,racism,sexism,Book,
230,10/04/2024 23:37:10,________ occurs when the out-group is blamed for the in-group’s frustration.,12,scapegoating,stereotyping,in-group bias,ageism,Book,
231,10/04/2024 23:37:10,When we seek out information that supports our stereotypes we are engaged in ________.,12,confirmation bias,scapegoating,self-fulfilling prophecy,in-group bias,Book,
232,10/04/2024 23:37:10,"Typically, bullying from boys is to ________ as bullying from girls is to ________.",12,physical harm; emotional harm,emotional harm; physical harm,psychological harm; physical harm,social exclusion; verbal taunting,Book,
233,10/04/2024 23:37:10,Which of the following adolescents is least likely to be targeted for bullying?,12,the captain of the football team,a child with a physical disability,a transgender adolescent,an emotionally sensitive boy,Book,
234,10/04/2024 23:37:10,The bystander effect likely occurs due to ________.,12,diffusion of responsibility,desensitization to violence,people not noticing the emergency,emotional insensitivity,Book,
235,10/04/2024 23:37:29,Altruism is a form of prosocial behavior that is motivated by ________.,12,selfless helping of others,feeling good about oneself,earning a reward,showing bravery to bystanders,Book,
236,10/04/2024 23:37:29,"After moving to a new apartment building, research suggests that Sam will be most likely to become friends with ________.",12,his next door neighbor,someone who lives three floors up in the apartment building,someone from across the street,his new postal delivery person,Book,
237,10/04/2024 23:37:29,What trait do both men and women tend to look for in a romantic partner?,12,sense of humor,social skills,leadership potential,physical attractiveness,Book,
238,10/04/2024 23:37:29,"According to the triangular theory of love, what type of love is defined by passion and intimacy but no commitment?",12,romantic love,consummate love,empty love,liking,Book,
239,10/04/2024 23:37:29,"According to social exchange theory, humans want to maximize the ________ and minimize the ________ in relationships.",12,benefits; costs,intimacy; commitment,costs; benefits,passion; intimacy,Book,
